,freq,lbd,S,aux,idl
173,176700950342601.0,1.6966092e-06,-53.5532774,,
174,176702991695811.4,1.6965896e-06,-55.1897738,,
175,176705033096188.2,1.69657e-06,-55.8773136,,
176,176707074543732.97,1.6965504e-06,-54.0646888,,
177,176709116038447.4,1.6965308e-06,-54.0369303,,
178,176711157580333.1,1.6965112e-06,-54.1150228,,
179,176713199169391.7,1.6964916e-06,-55.9253723,,
180,176715240805624.84,1.696472e-06,-53.8151341,,
181,176717282489034.16,1.6964524e-06,-54.2840074,,
182,176719324219621.3,1.6964328e-06,-54.0868325,,
183,176721365997387.9,1.6964132e-06,-54.8773004,,
184,176723407822335.56,1.6963936e-06,-54.2810208,,
185,176725449694465.94,1.696374e-06,-55.5236338,,
186,176727491613780.72,1.6963544e-06,-55.4781304,,
187,176729533580281.44,1.6963348e-06,-55.3579016,,
188,176731575593969.78,1.6963152e-06,-53.5958737,,
189,176733617654847.4,1.6962956e-06,-55.3118113,,
190,176735659762915.94,1.696276e-06,-54.8908757,,
191,176737701918177.0,1.6962564e-06,-53.7277361,,
192,176739744120632.22,1.6962368e-06,-54.4836947,,
193,176741786370283.22,1.6962172e-06,-54.0608006,,
194,176743828667131.72,1.6961976e-06,-53.4778037,,
195,176745871011179.25,1.696178e-06,-55.3806706,,
196,176747913402427.5,1.6961584e-06,-54.0889923,,
197,176749955840878.1,1.6961388e-06,-56.8811912,,
198,176751998326532.72,1.6961192e-06,-53.4611093,,
199,176754040859392.94,1.6960996e-06,-55.0098696,,
200,176756083439460.4,1.69608e-06,-54.3338074,,
201,176758126066736.75,1.6960604e-06,-54.285263,,
202,176760168741223.7,1.6960408e-06,-55.7576995,,
203,176762211462922.75,1.6960212e-06,-55.3733536,,
204,176764254231835.62,1.6960016e-06,-53.5723481,,
205,176766297047963.94,1.695982e-06,-54.7928992,,
206,176768339911309.38,1.6959624e-06,-54.652455,,
207,176770382821873.47,1.6959428e-06,-55.5726119,,
208,176772425779657.94,1.6959232e-06,-55.4680387,,
209,176774468784664.4,1.6959036e-06,-54.8391433,,
210,176776511836894.5,1.695884e-06,-54.4726965,,
211,176778554936349.88,1.6958644e-06,-54.1292919,,
212,176780598083032.12,1.6958448e-06,-54.7028339,,
213,176782641276942.94,1.6958252e-06,-53.3135447,,
214,176784684518083.9,1.6958056e-06,-53.1716986,,
215,176786727806456.72,1.695786e-06,-54.5611641,,
216,176788771142062.97,1.6957664e-06,-57.4298606,,
217,176790814524904.3,1.6957468e-06,-55.1018137,,
218,176792857954982.4,1.6957272e-06,-57.6187754,,
219,176794901432298.8,1.6957076e-06,-55.9512471,,
220,176796944956855.28,1.695688e-06,-53.901287,,
221,176798988528653.34,1.6956684e-06,-54.0731084,,
222,176801032147694.75,1.6956488e-06,-52.9573755,,
223,176803075813981.03,1.6956292e-06,-53.9072278,,
224,176805119527513.88,1.6956096e-06,-55.6381365,,
225,176807163288294.94,1.69559e-06,-54.3608412,,
226,176809207096325.8,1.6955704e-06,-54.1587681,,
227,176811250951608.2,1.6955508e-06,-55.9222527,,
228,176813294854143.66,1.6955312e-06,-54.3086147,,
229,176815338803933.88,1.6955116e-06,-55.5915179,,
230,176817382800980.47,1.695492e-06,-53.5714427,,
231,176819426845285.12,1.6954724e-06,-55.4525583,,
232,176821470936849.44,1.6954528e-06,-56.167984,,
233,176823515075675.06,1.6954332e-06,-54.5450367,,
234,176825559261763.6,1.6954136e-06,-54.7000803,,
235,176827603495116.78,1.695394e-06,-54.2725889,,
236,176829647775736.16,1.6953744e-06,-55.6059213,,
237,176831692103623.38,1.6953548e-06,-53.938254,,
238,176833736478780.12,1.6953352e-06,-54.7066296,,
239,176835780901208.03,1.6953156e-06,-54.2203838,,
240,176837825370908.7,1.695296e-06,-54.9605004,,
241,176839869887883.75,1.6952764e-06,-56.1644909,,
242,176841914452134.9,1.6952568e-06,-53.9437917,,
243,176843959063663.78,1.6952372e-06,-54.4309417,,
244,176846003722471.97,1.6952176e-06,-54.8822128,,
245,176848048428561.16,1.695198e-06,-55.0983942,,
246,176850093181932.94,1.6951784e-06,-54.6023149,,
247,176852137982589.0,1.6951588e-06,-54.5507954,,
248,176854182830530.97,1.6951392e-06,-52.9047921,,
249,176856227725760.47,1.6951196e-06,-54.1836819,,
250,176858272668279.16,1.6951e-06,-55.7523251,,
251,176860317658088.7,1.6950804e-06,-55.9241267,,
252,176862362695190.66,1.6950608e-06,-56.9848916,,
253,176864407779586.72,1.6950412e-06,-59.5454108,,
254,176866452911278.53,1.6950216e-06,-54.9753276,,
255,176868498090267.75,1.695002e-06,-58.2918407,,
256,176870543316555.97,1.6949824e-06,-53.8786289,,
257,176872588590144.88,1.6949628e-06,-53.5104266,,
258,176874633911036.06,1.6949432e-06,-54.1091185,,
259,176876679279231.25,1.6949236e-06,-53.8929937,,
260,176878724694731.97,1.694904e-06,-54.003748,,
261,176880770157539.94,1.6948844e-06,-56.1238894,,
262,176882815667656.78,1.6948648e-06,-54.4213519,,
263,176884861225084.16,1.6948452e-06,-56.6512647,,
264,176886906829823.7,1.6948256e-06,-55.3238371,,
265,176888952481876.97,1.694806e-06,-54.5927951,,
266,176890998181245.72,1.6947864e-06,-54.465327,,
267,176893043927931.56,1.6947668e-06,-55.3939649,,
268,176895089721936.12,1.6947472e-06,-54.7096166,,
269,176897135563261.03,1.6947276e-06,-55.0819771,,
270,176899181451907.94,1.694708e-06,-56.5062329,,
271,176901227387878.5,1.6946884e-06,-55.8699522,,
272,176903273371174.38,1.6946688e-06,-54.1336765,,
273,176905319401797.12,1.6946492e-06,-56.0593868,,
274,176907365479748.5,1.6946296e-06,-55.1208057,,
275,176909411605030.06,1.69461e-06,-54.4400686,,
276,176911457777643.5,1.6945904e-06,-54.307423,,
277,176913503997590.44,1.6945708e-06,-58.5216948,,
278,176915550264872.5,1.6945512e-06,-54.2605777,,
279,176917596579491.34,1.6945316e-06,-56.6653169,,
280,176919642941448.62,1.694512e-06,-55.6511857,,
281,176921689350745.97,1.6944924e-06,-57.0048094,,
282,176923735807385.03,1.6944728e-06,-54.4068783,,
