freq,lbd,S,aux,idl,mu
391537532650715.7,7.6568e-07,-73.5966785,,,106.46499206113778
391539578098307.9,7.65676e-07,-74.2340444,,,106.46704316357167
391541623567271.6,7.65672e-07,-73.596347,,,106.46909428743622
391543669057607.2,7.65668e-07,-73.5419722,,,106.47114543273166
391545714569315.0,7.65664e-07,-71.3902785,,,106.47319659945845
391547760102395.3,7.6566e-07,-75.0,,,106.47524778761681
391549805656848.5,7.65656e-07,-75.0,,,106.47729899720713
391551851232674.94,7.65652e-07,-75.0,,,106.47935022822979
391553896829874.8,7.65648e-07,-71.4001781,,,106.48140148068498
391555942448448.6,7.65644e-07,-75.0,,,106.48345275457321
391557988088396.6,7.6564e-07,-75.0,,,106.4855040498947
391560033749719.2,7.65636e-07,-75.0,,,106.48755536664984
391562079432416.6,7.65632e-07,-75.0,,,106.48960670483896
391564125136489.3,7.65628e-07,-75.0,,,106.49165806446243
391566170861937.5,7.65624e-07,-75.0,,,106.4937094455205
391568216608761.5,7.6562e-07,-75.0,,,106.49576084801346
